,cusip,Date,Sustainalytics_ESG_Score,Refinitiv_ESG_Score,MSCI_KLD_Score,Company_Name,Stock_Return,Year-Month,Market_Value
0,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,-0.081824,2016-01,13512136.0
1,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,0.01752,2016-02,13752847.04
2,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,0.157572,2016-03,15842996.38
3,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,0.025656,2016-04,16267767.6
4,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,-0.055881,2016-05,15358713.92
5,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,0.107955,2016-06,16939758.0
6,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,-0.01708,2016-07,16471582.8
7,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,-0.0463,2016-08,15708941.13
8,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,-0.066386,2016-09,14589907.59
9,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,-0.053664,2016-10,13811738.71
10,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,-0.035843,2016-11,13316681.07
11,58283910,2016,3384.0,0.762318,1.0,Mead Johnson Nutrition Company,-0.012727,2016-12,13070999.48
12,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.061901,2016-01,222309900.0
13,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.024681,2016-02,227287172.55
14,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.060081,2016-03,240942856.53
15,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.003319,2016-04,238975920.0
16,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.008501,2016-05,241025487.3
17,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.103704,2016-06,266020723.02
18,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.01296,2016-07,266320080.0
19,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,-0.055671,2016-08,251493760.0
20,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,-0.006605,2016-09,249832720.0
21,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,-0.082246,2016-10,226157768.98
22,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.050014,2016-11,237226830.0
23,00206R10,2016,4162.0,0.936299,2.0,AT&T Inc.,0.100958,2016-12,261176730.0
24,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,0.002822,2017-01,258820240.0
25,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,-0.008776,2017-02,256656210.3
26,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,-0.005743,2017-03,255182233.5
27,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,-0.034416,2017-04,243605610.0
28,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,-0.027757,2017-05,236882440.0
29,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,-0.020763,2017-06,231964040.0
30,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,0.046647,2017-07,239460000.0
31,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,-0.039487,2017-08,230004400.0
32,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,0.045649,2017-09,240503800.0
33,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,-0.128415,2017-10,206577350.0
34,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,0.081129,2017-11,223336820.0
35,00206R10,2017,4133.0,0.929871,2.0,AT&T Inc.,0.068719,2017-12,238684320.0
36,00206R10,2018,3953.0,0.946632,3.0,AT&T Inc.,-0.02392,2018-01,229905550.0
37,00206R10,2018,3953.0,0.946632,3.0,AT&T Inc.,-0.030708,2018-02,222845700.0
38,00206R10,2018,3953.0,0.946632,3.0,AT&T Inc.,-0.017906,2018-03,231554985.15
39,00206R10,2018,3953.0,0.946632,3.0,AT&T Inc.,-0.068724,2018-04,201039600.0
40,00206R10,2018,3953.0,0.946632,3.0,AT&T Inc.,-0.011621,2018-05,198477120.0
41,00206R10,2018,3953.0,0.946632,3.0,AT&T Inc.,-0.006497,2018-06,235247493.0
42,00206R10,2018,3953.0,0.946632,3.0,AT&T Inc.,0.011211,2018-07,232134170.0
43,00206R10,2018,3953.0,0.946632,3.0,AT&T Inc.,-0.000938,2018-08,231948280.0
